CMDLINE C:\Users\User\PycharmProjects\kurs\.venv\Scripts\python.exe tetris.py
MEM 3.097656 1717483375.2615
MEM 3.097656 1717483375.3626
MEM 3.097656 1717483375.4628
MEM 3.097656 1717483375.5638
MEM 3.097656 1717483375.6649
MEM 3.097656 1717483375.7659
MEM 3.097656 1717483375.8669
MEM 3.097656 1717483375.9673
MEM 3.097656 1717483376.0676
MEM 3.097656 1717483376.1683
MEM 3.097656 1717483376.2693
MEM 3.097656 1717483376.3697
MEM 3.097656 1717483376.4703
MEM 3.097656 1717483376.5713
MEM 3.097656 1717483376.6723
MEM 3.097656 1717483376.7731
MEM 3.097656 1717483376.8739
MEM 3.097656 1717483376.9746
MEM 3.097656 1717483377.0756
MEM 3.097656 1717483377.1766
MEM 3.097656 1717483377.2776
MEM 3.097656 1717483377.3787
MEM 3.097656 1717483377.4790
MEM 3.097656 1717483377.5800
MEM 3.097656 1717483377.6808
MEM 3.097656 1717483377.7813
MEM 3.097656 1717483377.8823
MEM 3.097656 1717483377.9829
MEM 3.097656 1717483378.0839
MEM 3.097656 1717483378.1849
MEM 3.097656 1717483378.2859
MEM 3.097656 1717483378.3869
MEM 3.097656 1717483378.4878
MEM 3.097656 1717483378.5883
MEM 3.097656 1717483378.6895
MEM 3.097656 1717483378.7901
MEM 3.097656 1717483378.8910
MEM 3.097656 1717483378.9921
MEM 3.097656 1717483379.0932
MEM 3.097656 1717483379.1942
MEM 3.097656 1717483379.2952
MEM 3.097656 1717483379.3959
MEM 3.097656 1717483379.4967
MEM 3.097656 1717483379.5977
MEM 3.097656 1717483379.6987
MEM 3.097656 1717483379.7997
MEM 3.097656 1717483379.9007
MEM 3.097656 1717483380.0017
MEM 3.097656 1717483380.1027
MEM 3.097656 1717483380.2037
MEM 3.097656 1717483380.3042
MEM 3.097656 1717483380.4054
MEM 3.097656 1717483380.5064
MEM 3.097656 1717483380.6071
MEM 3.097656 1717483380.7081
MEM 3.097656 1717483380.8091
MEM 3.097656 1717483380.9101
MEM 3.097656 1717483381.0106
MEM 3.097656 1717483381.1111
MEM 3.097656 1717483381.2121
MEM 3.097656 1717483381.3131
MEM 3.097656 1717483381.4141
MEM 3.097656 1717483381.5151
MEM 3.097656 1717483381.6161
MEM 3.097656 1717483381.7172
MEM 3.097656 1717483381.8182
MEM 3.097656 1717483381.9192
MEM 3.097656 1717483382.0202
MEM 3.097656 1717483382.1208
MEM 3.097656 1717483382.2214
MEM 3.097656 1717483382.3227
MEM 3.097656 1717483382.4233
MEM 3.097656 1717483382.5243
MEM 3.097656 1717483382.6253
MEM 3.097656 1717483382.7263
MEM 3.097656 1717483382.8273
MEM 3.097656 1717483382.9283
MEM 3.097656 1717483383.0294
MEM 3.097656 1717483383.1305
MEM 3.097656 1717483383.2316
MEM 3.097656 1717483383.3326
MEM 3.097656 1717483383.4336
MEM 3.097656 1717483383.5346
MEM 3.097656 1717483383.6356
MEM 3.097656 1717483383.7366
MEM 3.097656 1717483383.8376
MEM 3.097656 1717483383.9386
MEM 3.097656 1717483384.0396
MEM 3.097656 1717483384.1407
MEM 3.097656 1717483384.2417
MEM 3.097656 1717483384.3427
MEM 3.097656 1717483384.4437
MEM 3.097656 1717483384.5447
MEM 3.097656 1717483384.6457
MEM 3.097656 1717483384.7463
MEM 3.097656 1717483384.8473
MEM 3.097656 1717483384.9478
MEM 3.097656 1717483385.0488
